grade_level,subject,grade_level_momentum,BOY,MOY,EOY,SOL
4,Math,Grade 4,1443,1485,1448,311
4,Math,Grade 4,1466,1475,1471,311
4,Math,Grade 4,1408,1511,1391,311
4,Math,Grade 4,1388,1441,1460,311
4,Math,Grade 4,1443,1599,1562,311
4,Math,Grade 4,1418,1441,1415,311
4,Math,Grade 4,1426,1441,1460,312
4,Math,Grade 4,1361,1502,1482,312
4,Math,Grade 4,1451,1465,1509,312
4,Math,Grade 4,1451,1533,1482,312
4,Math,Grade 4,1435,1426,1448,312
4,Math,Grade 4,1474,1494,1471,313
4,Math,Grade 4,1399,1441,1460,313
4,Math,Grade 4,1435,1465,1415,313
4,Math,Grade 4,1443,1475,1448,313
4,Math,Grade 4,1321,1441,1448,313
4,Math,Grade 4,1481,1502,1579,313
4,Math,Grade 4,1399,1494,1482,313
4,Math,Grade 4,1408,1453,1509,313
4,Math,Grade 4,1458,1441,1482,313
4,Math,Grade 4,1408,1485,1471,314
4,Math,Grade 4,1418,1475,1491,314
4,Math,Grade 4,1426,1475,1509,314
4,Math,Grade 4,1443,1465,1460,314
4,Math,Grade 4,1435,1465,1491,314
4,Math,Grade 4,1418,1485,1448,315
4,Math,Grade 4,1418,1494,1471,315
4,Math,Grade 4,1408,1502,1460,315
4,Math,Grade 4,1494,1426,1482,315
4,Math,Grade 4,1418,1485,1491,315
4,Math,Grade 4,1426,1494,1509,316
4,Math,Grade 4,1408,1475,1482,316
4,Math,Grade 4,1466,1453,1500,316
4,Math,Grade 4,1426,1465,1482,316
4,Math,Grade 4,1443,1453,1509,316
4,Math,Grade 4,1426,1502,1471,317
4,Math,Grade 4,1451,1475,1500,317
4,Math,Grade 4,1435,1441,1471,317
4,Math,Grade 4,1426,1523,1471,317
4,Math,Grade 4,1408,1494,1491,317
4,Math,Grade 4,1426,1553,1491,317
4,Math,Grade 4,1426,1408,1509,317
4,Math,Grade 4,1443,1485,1491,318
4,Math,Grade 4,1399,1465,1482,318
4,Math,Grade 4,1399,1465,1491,318
4,Math,Grade 4,1408,1511,1448,318
4,Math,Grade 4,1435,1426,1482,318
4,Math,Grade 4,1435,1581,1460,318
4,Math,Grade 4,1399,1453,1460,318
4,Math,Grade 4,1408,1441,1448,319
4,Math,Grade 4,1451,1441,1448,319
4,Math,Grade 4,1399,1408,1448,319
4,Math,Grade 4,1418,1475,1500,319
4,Math,Grade 4,1426,1441,1500,319
4,Math,Grade 4,1443,1465,1509,319
4,Math,Grade 4,1443,1485,1482,320
4,Math,Grade 4,1458,1511,1491,320
4,Math,Grade 4,1474,1494,1482,320
4,Math,Grade 4,1399,1502,1517,320
4,Math,Grade 4,1418,1441,1482,320
4,Math,Grade 4,1418,1441,1482,320
4,Math,Grade 4,1466,1544,1482,321
4,Math,Grade 4,1465,1426,1433,321
4,Math,Grade 4,1443,1426,1482,321
4,Math,Grade 4,1435,1475,1471,321
4,Math,Grade 4,1418,1552,1448,321
4,Math,Grade 4,1399,1441,1517,321
4,Math,Grade 4,1486,1494,1460,321
4,Math,Grade 4,1408,1441,1509,321
4,Math,Grade 4,1426,1475,1448,322
4,Math,Grade 4,1399,1441,1433,322
4,Math,Grade 4,1399,1465,1482,322
4,Math,Grade 4,1443,1475,1525,322
4,Math,Grade 4,1418,1502,1448,322
4,Math,Grade 4,1388,1607,1571,322
4,Math,Grade 4,1443,1426,1471,322
4,Math,Grade 4,1418,1494,1509,323
4,Math,Grade 4,1408,1426,1415,323
4,Math,Grade 4,1443,1475,1482,323
4,Math,Grade 4,1426,1465,1471,323
4,Math,Grade 4,1482,1475,1448,323
4,Math,Grade 4,1418,1475,1460,324
4,Math,Grade 4,1361,1408,1500,324
4,Math,Grade 4,1426,1426,1482,324
4,Math,Grade 4,1399,1453,1448,324
4,Math,Grade 4,1497,1511,1482,324
4,Math,Grade 4,1388,1502,1482,324
4,Math,Grade 4,1435,1453,1482,324
4,Math,Grade 4,1388,1441,1491,324
4,Math,Grade 4,1474,1475,1509,324
4,Math,Grade 4,1388,1385,1471,324
4,Math,Grade 4,1474,1453,1471,324
4,Math,Grade 4,1435,1453,1433,324
4,Math,Grade 4,1426,1408,1460,325
4,Math,Grade 4,1509,1511,1433,325
4,Math,Grade 4,1418,1475,1526,325
4,Math,Grade 4,1466,1485,1433,325
4,Math,Grade 4,1399,1453,1415,325
4,Math,Grade 4,1472,1485,1509,325
4,Math,Grade 4,1399,1502,1482,325
4,Math,Grade 4,1399,1453,1460,326
4,Math,Grade 4,1426,1475,1460,326
4,Math,Grade 4,1552,1475,1509,326
4,Math,Grade 4,1443,1441,1471,326
4,Math,Grade 4,1399,1502,1448,326
4,Math,Grade 4,1399,1465,1482,326
4,Math,Grade 4,1443,1511,1491,326
4,Math,Grade 4,1426,1441,1471,326
4,Math,Grade 4,1435,1527,1482,326
4,Math,Grade 4,1418,1475,1482,326
4,Math,Grade 4,1458,1441,1482,326
4,Math,Grade 4,1408,1485,1471,326
4,Math,Grade 4,1399,1485,1500,326
4,Math,Grade 4,1435,1485,1471,326
4,Math,Grade 4,1399,1475,1460,327
4,Math,Grade 4,1435,1485,1460,327
4,Math,Grade 4,1426,1426,1471,327
4,Math,Grade 4,1451,1441,1460,327
4,Math,Grade 4,1408,1453,1471,327
4,Math,Grade 4,1435,1475,1460,327
4,Math,Grade 4,1426,1475,1482,327
4,Math,Grade 4,1375,1475,1433,327
4,Math,Grade 4,1435,1572,1562,328
4,Math,Grade 4,1418,1536,1482,328
4,Math,Grade 4,1426,1426,1500,328
4,Math,Grade 4,1435,1408,1509,328
4,Math,Grade 4,1399,1453,1433,328
4,Math,Grade 4,1426,1426,1509,328
4,Math,Grade 4,1408,1494,1482,328
4,Math,Grade 4,1426,1465,1509,328
4,Math,Grade 4,1474,1494,1482,328
4,Math,Grade 4,1399,1494,1460,328
4,Math,Grade 4,1451,1485,1482,329
4,Math,Grade 4,1435,1485,1517,329
4,Math,Grade 4,1426,1485,1471,329
4,Math,Grade 4,1408,1408,1460,329
4,Math,Grade 4,1418,1485,1471,329
4,Math,Grade 4,1443,1485,1353,329
4,Math,Grade 4,1443,1519,1415,329
4,Math,Grade 4,1399,1441,1491,329
4,Math,Grade 4,1435,1453,1460,329
4,Math,Grade 4,1418,1441,1471,329
4,Math,Grade 4,1375,1465,1500,329
4,Math,Grade 4,1435,1453,1482,330
4,Math,Grade 4,1504,1441,1448,330
4,Math,Grade 4,1388,1441,1500,330
4,Math,Grade 4,1418,1441,1482,330
4,Math,Grade 4,1399,1453,1353,331
4,Math,Grade 4,1451,1465,1448,331
4,Math,Grade 4,1435,1502,1471,331
4,Math,Grade 4,1408,1441,1460,331
4,Math,Grade 4,1399,1408,1448,331
4,Math,Grade 4,1375,1441,1509,331
4,Math,Grade 4,1418,1426,1460,331
4,Math,Grade 4,1388,1475,1482,331
4,Math,Grade 4,1399,1426,1491,331
4,Math,Grade 4,1443,1485,1460,331
4,Math,Grade 4,1443,1426,1500,331
4,Math,Grade 4,1435,1475,1482,331
4,Math,Grade 4,1458,1485,1500,332
4,Math,Grade 4,1418,1475,1471,332
4,Math,Grade 4,1375,1475,1471,332
4,Math,Grade 4,1375,1485,1482,332
4,Math,Grade 4,1418,1471,1408,332
4,Math,Grade 4,1375,1426,1500,332
4,Math,Grade 4,1497,1475,1460,332
4,Math,Grade 4,1399,1494,1491,332
4,Math,Grade 4,1408,1475,1460,332
4,Math,Grade 4,1418,1441,1415,332
4,Math,Grade 4,1399,1453,1500,333
4,Math,Grade 4,1375,1485,1482,333
4,Math,Grade 4,1435,1441,1482,333
4,Math,Grade 4,1399,1441,1391,333
4,Math,Grade 4,1399,1441,1448,333
4,Math,Grade 4,1418,1453,1460,333
4,Math,Grade 4,1451,1426,1471,333
4,Math,Grade 4,1435,1485,1471,333
4,Math,Grade 4,1466,1511,1471,334
4,Math,Grade 4,1408,1511,1482,334
4,Math,Grade 4,1435,1465,1482,334
4,Math,Grade 4,1443,1511,1491,334
4,Math,Grade 4,1443,1494,1500,334
4,Math,Grade 4,1448,1494,1448,334
4,Math,Grade 4,1399,1494,1460,334
4,Math,Grade 4,1399,1385,1460,334
4,Math,Grade 4,1399,1441,1460,334
4,Math,Grade 4,1361,1441,1460,334
4,Math,Grade 4,1408,1465,1460,334
4,Math,Grade 4,1426,1408,1448,335
4,Math,Grade 4,1466,1453,1517,335
4,Math,Grade 4,1426,1426,1482,335
4,Math,Grade 4,1426,1453,1433,335
4,Math,Grade 4,1474,1497,1554,335
4,Math,Grade 4,1388,1475,1471,335
4,Math,Grade 4,1418,1465,1471,335
4,Math,Grade 4,1458,1494,1471,335
4,Math,Grade 4,1418,1511,1491,336
4,Math,Grade 4,1435,1441,1471,336
4,Math,Grade 4,1418,1527,1525,336
4,Math,Grade 4,1408,1426,1491,336
4,Math,Grade 4,1408,1511,1509,336
4,Math,Grade 4,1418,1523,1482,336
4,Math,Grade 4,1388,1453,1460,336
4,Math,Grade 4,1435,1408,1482,336
4,Math,Grade 4,1375,1453,1471,336
4,Math,Grade 4,1408,1475,1491,336
4,Math,Grade 4,1466,1426,1482,336
4,Math,Grade 4,1457,1494,1500,336
4,Math,Grade 4,1361,1465,1491,336
4,Math,Grade 4,1466,1527,1460,336
4,Math,Grade 4,1361,1435,1554,337
4,Math,Grade 4,1482,1441,1482,337
4,Math,Grade 4,1451,1502,1415,337
4,Math,Grade 4,1443,1485,1471,337
4,Math,Grade 4,1458,1475,1471,337
4,Math,Grade 4,1399,1453,1471,337
4,Math,Grade 4,1399,1485,1460,337
4,Math,Grade 4,1361,1485,1491,337
4,Math,Grade 4,1388,1460,1441,337
4,Math,Grade 4,1443,1465,1509,337
4,Math,Grade 4,1418,1485,1433,337
4,Math,Grade 4,1408,1426,1509,337
4,Math,Grade 4,1443,1494,1509,337
4,Math,Grade 4,1435,1494,1571,338
4,Math,Grade 4,1418,1485,1545,338
4,Math,Grade 4,1435,1465,1509,338
4,Math,Grade 4,1408,1485,1491,338
4,Math,Grade 4,1426,1475,1448,338
4,Math,Grade 4,1408,1485,1471,338
4,Math,Grade 4,1418,1441,1500,338
4,Math,Grade 4,1426,1536,1500,339
4,Math,Grade 4,1408,1408,1415,339
4,Math,Grade 4,1451,1485,1491,339
4,Math,Grade 4,1458,1494,1471,339
4,Math,Grade 4,1474,1502,1545,339
4,Math,Grade 4,1466,1475,1482,339
4,Math,Grade 4,1418,1485,1460,339
4,Math,Grade 4,1399,1494,1482,340
4,Math,Grade 4,1451,1465,1500,340
4,Math,Grade 4,1399,1441,1433,340
4,Math,Grade 4,1435,1465,1500,340
4,Math,Grade 4,1435,1475,1536,340
4,Math,Grade 4,1435,1485,1491,340
4,Math,Grade 4,1435,1426,1482,340
4,Math,Grade 4,1418,1475,1500,340
4,Math,Grade 4,1451,1544,1460,340
4,Math,Grade 4,1388,1485,1460,340
4,Math,Grade 4,1451,1519,1491,340
4,Math,Grade 4,1435,1465,1460,340
4,Math,Grade 4,1458,1475,1542,341
4,Math,Grade 4,1435,1385,1482,341
4,Math,Grade 4,1451,1426,1491,341
4,Math,Grade 4,1408,1426,1526,341
4,Math,Grade 4,1426,1475,1482,341
4,Math,Grade 4,1399,1485,1517,341
4,Math,Grade 4,1375,1494,1460,341
4,Math,Grade 4,1443,1485,1482,341
4,Math,Grade 4,1426,1453,1471,341
4,Math,Grade 4,1399,1465,1460,341
4,Math,Grade 4,1435,1494,1391,341
4,Math,Grade 4,1443,1408,1491,341
4,Math,Grade 4,1408,1465,1471,341
4,Math,Grade 4,1443,1453,1491,342
4,Math,Grade 4,1443,1511,1491,342
4,Math,Grade 4,1399,1426,1525,342
4,Math,Grade 4,1375,1494,1448,342
4,Math,Grade 4,1489,1426,1509,342
4,Math,Grade 4,1443,1572,1509,342
4,Math,Grade 4,1399,1485,1491,342
4,Math,Grade 4,1426,1465,1482,342
4,Math,Grade 4,1408,1485,1558,342
4,Math,Grade 4,1489,1502,1482,342
4,Math,Grade 4,1435,1485,1460,342
4,Math,Grade 4,1451,1465,1707,342
4,Math,Grade 4,1451,1426,1482,342
4,Math,Grade 4,1388,1494,1460,342
4,Math,Grade 4,1399,1441,1460,342
4,Math,Grade 4,1474,1502,1482,342
4,Math,Grade 4,1408,1426,1471,342
4,Math,Grade 4,1451,1475,1517,343
4,Math,Grade 4,1426,1475,1562,343
4,Math,Grade 4,1426,1453,1415,343
4,Math,Grade 4,1408,1453,1500,343
4,Math,Grade 4,1435,1453,1433,343
4,Math,Grade 4,1408,1453,1491,343
4,Math,Grade 4,1466,1475,1509,343
4,Math,Grade 4,1408,1426,1448,343
4,Math,Grade 4,1466,1485,1542,343
4,Math,Grade 4,1408,1465,1509,343
4,Math,Grade 4,1388,1426,1433,343
4,Math,Grade 4,1408,1465,1460,343
4,Math,Grade 4,1451,1441,1509,343
4,Math,Grade 4,1458,1408,1448,343
4,Math,Grade 4,1443,1453,1491,344
4,Math,Grade 4,1426,1465,1471,344
4,Math,Grade 4,1408,1465,1415,344
4,Math,Grade 4,1458,1494,1509,344
4,Math,Grade 4,1451,1485,1482,344
4,Math,Grade 4,1435,1485,1482,344
4,Math,Grade 4,1388,1590,1596,344
4,Math,Grade 4,1388,1453,1482,344
4,Math,Grade 4,1443,1494,1509,344
4,Math,Grade 4,1361,1453,1448,344
4,Math,Grade 4,1451,1544,1554,345
4,Math,Grade 4,1399,1494,1491,345
4,Math,Grade 4,1408,1453,1500,345
4,Math,Grade 4,1399,1408,1433,345
4,Math,Grade 4,1451,1453,1471,345
4,Math,Grade 4,1388,1519,1433,345
4,Math,Grade 4,1408,1485,1448,345
4,Math,Grade 4,1408,1426,1525,345
4,Math,Grade 4,1375,1475,1448,345
4,Math,Grade 4,1466,1502,1448,345
4,Math,Grade 4,1458,1441,1482,345
4,Math,Grade 4,1435,1569,1631,346
4,Math,Grade 4,1451,1485,1491,346
4,Math,Grade 4,1451,1465,1460,346
4,Math,Grade 4,1388,1426,1471,346
4,Math,Grade 4,1458,1519,1534,346
4,Math,Grade 4,1435,1465,1415,346
4,Math,Grade 4,1435,1453,1460,346
4,Math,Grade 4,1451,1485,1448,346
4,Math,Grade 4,1443,1465,1509,346
4,Math,Grade 4,1399,1441,1509,347
4,Math,Grade 4,1489,1519,1579,347
4,Math,Grade 4,1443,1485,1662,347
4,Math,Grade 4,1435,1533,1482,347
4,Math,Grade 4,1418,1502,1491,347
4,Math,Grade 4,1435,1465,1517,347
4,Math,Grade 4,1418,1465,1448,347
4,Math,Grade 4,1435,1426,1482,347
4,Math,Grade 4,1451,1527,1525,347
4,Math,Grade 4,1458,1502,1482,347
4,Math,Grade 4,1511,1485,1500,347
4,Math,Grade 4,1451,1475,1433,347
4,Math,Grade 4,1443,1441,1471,348
4,Math,Grade 4,1418,1519,1471,348
4,Math,Grade 4,1388,1441,1482,348
4,Math,Grade 4,1418,1494,1491,348
4,Math,Grade 4,1435,1494,1500,348
4,Math,Grade 4,1451,1485,1482,348
4,Math,Grade 4,1418,1485,1482,348
4,Math,Grade 4,1418,1453,1509,348
4,Math,Grade 4,1408,1569,1579,348
4,Math,Grade 4,1435,1475,1500,348
4,Math,Grade 4,1466,1485,1491,348
4,Math,Grade 4,1408,1494,1491,349
4,Math,Grade 4,1458,1453,1471,349
4,Math,Grade 4,1458,1502,1460,349
4,Math,Grade 4,1399,1453,1500,349
4,Math,Grade 4,1458,1475,1471,349
4,Math,Grade 4,1399,1426,1471,350
4,Math,Grade 4,1388,1502,1500,350
4,Math,Grade 4,1399,1475,1471,350
4,Math,Grade 4,1399,1485,1536,350
4,Math,Grade 4,1418,1502,1491,350
4,Math,Grade 4,1451,1502,1534,350
4,Math,Grade 4,1375,1485,1448,350
4,Math,Grade 4,1375,1465,1433,350
4,Math,Grade 4,1418,1485,1542,350
4,Math,Grade 4,1451,1511,1471,350
4,Math,Grade 4,1474,1453,1460,350
4,Math,Grade 4,1435,1465,1500,350
4,Math,Grade 4,1443,1408,1460,350
4,Math,Grade 4,1408,1465,1491,351
4,Math,Grade 4,1388,1385,1509,351
4,Math,Grade 4,1458,1502,1471,351
4,Math,Grade 4,1435,1519,1500,351
4,Math,Grade 4,1388,1519,1482,351
4,Math,Grade 4,1474,1485,1482,351
4,Math,Grade 4,1426,1475,1460,351
4,Math,Grade 4,1451,1511,1491,351
4,Math,Grade 4,1435,1465,1509,351
4,Math,Grade 4,1451,1465,1482,351
4,Math,Grade 4,1435,1453,1651,351
4,Math,Grade 4,1451,1441,1471,351
4,Math,Grade 4,1466,1408,1471,351
4,Math,Grade 4,1344,1485,1491,351
4,Math,Grade 4,1451,1519,1460,352
4,Math,Grade 4,1408,1511,1482,352
4,Math,Grade 4,1418,1502,1491,352
4,Math,Grade 4,1458,1475,1491,352
4,Math,Grade 4,1466,1453,1542,352
4,Math,Grade 4,1435,1494,1471,352
4,Math,Grade 4,1426,1453,1509,352
4,Math,Grade 4,1451,1453,1482,352
4,Math,Grade 4,1426,1485,1536,352
4,Math,Grade 4,1494,1453,1482,352
4,Math,Grade 4,1443,1441,1482,352
4,Math,Grade 4,1443,1494,1471,352
4,Math,Grade 4,1443,1485,1433,352
4,Math,Grade 4,1451,1485,1482,352
4,Math,Grade 4,1435,1485,1433,352
4,Math,Grade 4,1418,1441,1415,352
4,Math,Grade 4,1489,1494,1571,353
4,Math,Grade 4,1435,1453,1500,353
4,Math,Grade 4,1361,1475,1500,353
4,Math,Grade 4,1435,1453,1542,353
4,Math,Grade 4,1375,1494,1471,353
4,Math,Grade 4,1388,1475,1448,353
4,Math,Grade 4,1435,1453,1491,353
4,Math,Grade 4,1408,1441,1460,353
4,Math,Grade 4,1451,1485,1579,353
4,Math,Grade 4,1481,1441,1482,353
4,Math,Grade 4,1443,1465,1500,353
4,Math,Grade 4,1435,1511,1517,354
4,Math,Grade 4,1443,1453,1448,354
4,Math,Grade 4,1451,1465,1517,354
4,Math,Grade 4,1480,1441,1415,354
4,Math,Grade 4,1451,1453,1471,354
4,Math,Grade 4,1435,1465,1471,354
4,Math,Grade 4,1474,1494,1482,354
4,Math,Grade 4,1474,1485,1542,354
4,Math,Grade 4,1481,1494,1491,354
4,Math,Grade 4,1408,1475,1482,354
4,Math,Grade 4,1435,1511,1517,354
4,Math,Grade 4,1443,1453,1448,354
4,Math,Grade 4,1458,1494,1433,354
4,Math,Grade 4,1443,1511,1500,354
4,Math,Grade 4,1465,1475,1491,354
4,Math,Grade 4,1458,1475,1415,354
4,Math,Grade 4,1480,1465,1491,354
4,Math,Grade 4,1458,1453,1415,354
4,Math,Grade 4,1481,1502,1509,354
4,Math,Grade 4,1466,1519,1534,355
4,Math,Grade 4,1435,1502,1550,355
4,Math,Grade 4,1418,1465,1460,355
4,Math,Grade 4,1443,1485,1460,355
4,Math,Grade 4,1408,1475,1482,355
4,Math,Grade 4,1489,1519,1509,355
4,Math,Grade 4,1418,1453,1500,355
4,Math,Grade 4,1451,1511,1491,355
4,Math,Grade 4,1435,1475,1460,355
4,Math,Grade 4,1408,1441,1482,355
4,Math,Grade 4,1426,1465,1491,355
4,Math,Grade 4,1435,1453,1509,356
4,Math,Grade 4,1426,1502,1491,356
4,Math,Grade 4,1426,1511,1448,356
4,Math,Grade 4,1426,1485,1491,356
4,Math,Grade 4,1399,1475,1534,356
4,Math,Grade 4,1443,1475,1509,356
4,Math,Grade 4,1458,1441,1482,356
4,Math,Grade 4,1458,1475,1471,356
4,Math,Grade 4,1435,1385,1482,356
4,Math,Grade 4,1443,1465,1448,356
4,Math,Grade 4,1458,1485,1471,356
4,Math,Grade 4,1408,1502,1562,356
4,Math,Grade 4,1408,1426,1491,356
4,Math,Grade 4,1443,1502,1534,356
4,Math,Grade 4,1418,1465,1482,357
4,Math,Grade 4,1443,1465,1482,357
4,Math,Grade 4,1435,1465,1536,357
4,Math,Grade 4,1435,1485,1482,357
4,Math,Grade 4,1458,1475,1517,357
4,Math,Grade 4,1361,1453,1433,357
4,Math,Grade 4,1426,1511,1509,357
4,Math,Grade 4,1426,1408,1491,357
4,Math,Grade 4,1451,1408,1491,357
4,Math,Grade 4,1443,1475,1525,357
4,Math,Grade 4,1408,1453,1448,357
4,Math,Grade 4,1375,1465,1500,358
4,Math,Grade 4,1435,1494,1471,358
4,Math,Grade 4,1489,1485,1587,358
4,Math,Grade 4,1443,1453,1517,358
4,Math,Grade 4,1443,1494,1542,358
4,Math,Grade 4,1489,1441,1433,358
4,Math,Grade 4,1408,1502,1500,358
4,Math,Grade 4,1361,1502,1554,358
4,Math,Grade 4,1458,1465,1500,358
4,Math,Grade 4,1451,1485,1509,359
4,Math,Grade 4,1465,1465,1491,359
4,Math,Grade 4,1458,1453,1482,359
4,Math,Grade 4,1426,1426,1460,359
4,Math,Grade 4,1435,1511,1491,359
4,Math,Grade 4,1443,1453,1500,359
4,Math,Grade 4,1489,1502,1509,359
4,Math,Grade 4,1451,1475,1471,359
4,Math,Grade 4,1443,1485,1525,359
4,Math,Grade 4,1482,1494,1471,359
4,Math,Grade 4,1388,1527,1558,360
4,Math,Grade 4,1408,1485,1491,360
4,Math,Grade 4,1458,1502,1471,360
4,Math,Grade 4,1443,1475,1460,360
4,Math,Grade 4,1451,1465,1471,360
4,Math,Grade 4,1418,1475,1491,360
4,Math,Grade 4,1435,1465,1491,360
4,Math,Grade 4,1426,1502,1471,360
4,Math,Grade 4,1443,1453,1433,360
4,Math,Grade 4,1474,1494,1448,360
4,Math,Grade 4,1435,1502,1433,360
4,Math,Grade 4,1418,1441,1534,360
4,Math,Grade 4,1426,1475,1491,360
4,Math,Grade 4,1451,1441,1482,360
4,Math,Grade 4,1481,1511,1534,360
4,Math,Grade 4,1399,1485,1460,360
4,Math,Grade 4,1426,1485,1491,361
4,Math,Grade 4,1426,1494,1460,361
4,Math,Grade 4,1474,1527,1526,361
4,Math,Grade 4,1466,1502,1460,361
4,Math,Grade 4,1451,1502,1554,361
4,Math,Grade 4,1451,1519,1517,361
4,Math,Grade 4,1481,1494,1460,361
4,Math,Grade 4,1435,1494,1491,361
4,Math,Grade 4,1481,1485,1491,361
4,Math,Grade 4,1474,1494,1509,361
4,Math,Grade 4,1399,1475,1460,361
4,Math,Grade 4,1435,1511,1482,361
4,Math,Grade 4,1443,1475,1482,361
4,Math,Grade 4,1451,1465,1500,361
4,Math,Grade 4,1399,1441,1460,361
4,Math,Grade 4,1443,1465,1433,362
4,Math,Grade 4,1451,1475,1500,362
4,Math,Grade 4,1443,1441,1460,362
4,Math,Grade 4,1497,1527,1460,362
4,Math,Grade 4,1408,1426,1500,362
4,Math,Grade 4,1458,1441,1471,362
4,Math,Grade 4,1418,1527,1566,362
4,Math,Grade 4,1426,1465,1500,362
4,Math,Grade 4,1408,1441,1460,362
4,Math,Grade 4,1474,1494,1433,362
4,Math,Grade 4,1451,1475,1482,362
4,Math,Grade 4,1426,1453,1517,362
4,Math,Grade 4,1408,1453,1509,362
4,Math,Grade 4,1443,1453,1509,362
4,Math,Grade 4,1481,1519,1509,362
4,Math,Grade 4,1466,1502,1500,362
4,Math,Grade 4,1458,1465,1641,362
4,Math,Grade 4,1451,1426,1534,362
4,Math,Grade 4,1458,1465,1482,362
4,Math,Grade 4,1451,1475,1482,362
4,Math,Grade 4,1466,1465,1482,362
4,Math,Grade 4,1418,1485,1491,363
4,Math,Grade 4,1399,1465,1491,363
4,Math,Grade 4,1458,1426,1500,363
4,Math,Grade 4,1443,1494,1471,363
4,Math,Grade 4,1466,1465,1491,363
4,Math,Grade 4,1426,1465,1500,363
4,Math,Grade 4,1435,1475,1491,363
